Question,QuestionImg,ansimg1,ansimg2,ansimg3,answer4,Answer,type
X yang tepat untuk gambar tersebut adalah…,Sedang1.png,6,8,12,15,1,click
Nilai X yang tepat adalah…,Sedang2.png,7,4,3,10,3,click
Yang Paling Mendekati?,Sedang3.png,Kucing : anjing,Kambing : sapi,Ikan : udang,Biawak : komodo,4,click
Isi ... adalah?,Sedang4.png,Penentu,Petunjuk,Pembentuk,Pengukur,4,click
Isi ... adalah?,Sedang5.png,Ketidaksinambungan,Keberlainan,Keberagaman,Ketidakseimbangan,4,click
Isi ... adalah?,Sedang6.png,Pengakuan,Perlindungan,Perujukan ,Persahabatan ,4,click
Isi ... adalah?,Sedang7.png,Bencana,kecerobohan,Musibah,Kecelakaan,1,click
Isi ... adalah?,Sedang8.png,Bahaya,Aman,Celaka,Hening ,2,click
Isi ... adalah?,Sedang9.png,Sikap ,kecerdasan,Moralitas,Kasih sayang,4,click
Isi ... adalah?,Sedang10.png,Plural,Tradisional ,Struktural ,Kultural ,2,click
Isi ... adalah?,Sedang11.png,39,53,-183,-197,3,click
Isi ... adalah?,Sedang12.png,64,72,96,94,2,click
Pasangan yang paling tepat adalah?,Sedang13.png,Cakar : binatang buas,Tajam : mata,Sayap : terbang,Ekor : binatang ,1,click
Pasangan yang paling tepat adalah?,Sedang14.png,Sungai : laut,Danau : air,Delta : laut,Pulau : benua,4,click
Pasangan yang paling tepat adalah?,Sedang15.png,Ban : Mobil : Motor,Air : Dingin : Panas,Tubuh : Otak : Usus,Bunga : Mawar : Melati,1,click
Cocokan?,Sedang16.png,Sedang16A.png,Sedang16B.png,Sedang16C.png,Sedang16D.png,4,drag
Cocokan?,Sedang17.png,Sedang17A.png,Sedang17B.png,Sedang17C.png,Sedang17D.png,2,drag
Cocokan?,Sedang18.png,Sedang18A.png,Sedang18B.png,Sedang18C.png,Sedang18D.png,4,drag
