id_user,Time,SkorLiveCognitive,"Saya mudah khawatir","Suasana hati saya sering cepat berubah","Perasaan saya berubah-ubah","Saya mudah merasa kesal","Saya mudah merasa tertekan","Saya mudah merasa terganggu","Saya mudah merasa jengkel","Saya tertarik pada penulisan, membaca, atau menggali informasi.","Saya jarang merasa sedih","Saya sering merasa sedih","Saya lebih suka bekerja di belakang layar","Saya tidak suka menjadi pusat perhatian","Saya sedikit berkata","Saya tidak keberatan menjadi pusat perhatian","Saya tidak banyak berbicara","Saya tidak banyak berbicara pada orang yang tidak dikenal","Saya menghidupkan suasana dalam suatu acara","Saya berinteraksi dengan banyak orang dalam suatu acara","Saya merasa nyaman berada di sekitar orang lain","Saya mudah memulai suatu percakapan","Saya segera mengerjakan tugas yang diberikan","Saya telaten dalam mengerjakan tugas","Saya sering lupa meletakkan barang kembali pada tempatnya","Saya memperhatikan hal-hal secara rinci","Saya melakukan aktivitas sesuai jadwal atau agenda","Saya sering meninggalkan barang pribadi di sembarang tempat","Saya selalu mempersiapkan segala hal","Saya menyukai keteraturan","Saya sering mengacaukan banyak hal","Saya sering mengabaikan tugas-tugas saya","Saya adalah orang yang lemah lembut","Saya tidak tertarik dengan masalah orang lain","Saya tidak terlalu tertarik dengan kondisi orang lain","Saya tidak terlalu memedulikan orang lain","Saya mampu membuat orang lain merasa nyaman","Saya sering meluangkan waktu untuk orang lain","Saya memahami perasaan orang lain","Saya peduli dengan orang lain","Saya sering bersikap kasar pada orang lain","Saya bersimpati dengan perasaan orang lain","Saya sering menggunakan istilah-istilah yang sulit","Saya kesulitan memahami ide yang bersifat abstrak","Saya menguasai banyak kosakata","Saya memiliki ide-ide yang cemerlang","Saya memiliki banyak ide","Saya cepat dalam memahami sesuatu","Saya tidak tertarik dengan ide-ide abstrak","Saya memiliki imajinasi yang sangat kuat","Saya tidak memiliki imajinasi yang baik","Saya meluangkan waktu untuk merefleksikan berbagai hal","Saya menikmati bekerja dengan tangan dan menggunakan alat-alat.","Saya tertarik pada penelitian dan eksplorasi ilmiah.","Saya menikmati mengungkapkan diri melalui seni dan kreativitas.","Saya suka membantu orang lain dan bekerja dalam kelompok.","Saya memiliki minat dalam memimpin dan mempengaruhi orang lain.","Saya menyukai tugas-tugas yang memiliki struktur yang jelas dan rutin.","Saya menikmati olahraga atau aktivitas fisik.","Saya senang berpartisipasi dalam pertunjukan atau acara seni.","Saya suka berinteraksi dengan orang banyak dan membantu mereka.","Saya tertarik pada peluang bisnis dan mengambil risiko.","Saya suka bekerja dengan data dan detail yang akurat.","Saya paling cocok ditempatkan di pekerjaan yang membutuhkan kepekaan mata dan indera manusia lainnya.","Saya paling cocok pada pekerjaan yang  membutuhkan gerakan tubuh atau mengandalkan fisik.","Saya paling cocok ditempatkan di pekerjaan yang membutuhkan banyak pemikiran atau konsep.","Tunarungu adalah orang yang kehilangan kemampuan mendengar sehingga .... proses informasi bahasa melalui pendengarannya","Perkembangan teknologi yang sangat pesat di era globalisasi saat ini telah ... banyak manfaat dalam kemajuan di berbagai aspek sosial.","Perkembangan media sosial ini membuat remaja sendiri mulanya berlomba-lomba dalam ... komunitas melalui jaringan internet terutama media sosial","Mana dibawah ini yang paling berbeda Sedang1","Mana dibawah ini yang paling berbeda Sedang2","Mana dibawah ini yang paling berbeda Sedang3","Dosen : Kuliah = ....","Pesawat terbang : Bandara = ... : ...","Mobil : Bensin = ... : ...","Merkurius : Venus = .....","Emas : Mutiara = .......","Matematika : Fisika = ........","Lemparkan dua dadu enam sisi. Apabila lemparan dadu pertama adalah 4 dan lemparan dadu kedua 6. Kalikan hasil lemparan dadu tersebut.","Lemparkan dua dadu enam sisi. tambahkan angka yang muncul pada dadu pertama dengan angka yang muncul pada dadu kedua. Angka yang muncul pada dadu pertama adalah 5.","Lemparkan dua dadu enam sisi. berapakah Jumlah semua angka yang muncul pada dadu tersebut?","Manakah susunan huruf yang paling berbeda ?","KACAMATA – BUKU setara dengan :","Benda apakah yang paling berbeda ?","Dalam perkembangan teknologi informasi, konektivitas yang ......... memungkinkan berbagi data dan informasi dengan cepat di seluruh dunia.","Pemahaman ........ teori psikologi membantu dalam mengidentifikasi pola perilaku manusia dalam berbagai konteks.","Dalam bidang ekonomi, konsep inflasi mengacu pada....... umumnya naiknya harga-harga barang dan jasa dalam suatu periode waktu.","Mana dibawah ini yang paling berbeda Mudah1","Mana dibawah ini yang paling berbeda Mudah2","Mana dibawah ini yang paling berbeda Mudah3","Sejalan : .... =","Statis : ..... =","Keras Kepala : .... =","Narsisisme juga dapat diartikan sebagai bentukdar… memperoleh perhatian dan pemujaan atas dirinya.","Body Image merupakan imajinasi subyektif yang dimi…hnya harus disesuaikan dengan persepsi - persepsi","Sistem patriarki yang ... perempuan dan lelaki tid…nkan terjadi oleh sebagian besar warga masyarakat","Husein Mutahar: WR Soepratman: Ismail Marzuki= .......","Bumi: Jupiter: Saturnus = ........","Kertas : Karet : Resin = .......","Pilihlah pola yang tepat pada soal di bawah ini:A, C, E, G, ...","Pilihlah pola yang tepat pada soal di bawah ini:E,H, M, P, ...","Pilihlah pola yang tepat pada soal di bawah ini:X, XII, X, XV, X, XIX, X, ..."
4,"2023-12-07 11:09:49",0,4,5,5,1,1,1,1,0,4,1,1,1,2,5,1,2,4,3,4,4,3,3,3,3,3,1,5,4,2,1,3,3,2,4,4,2,3,5,1,5,5,1,5,5,5,5,5,5,1,5,2,2,3,2,5,4,4,4,4,5,5,4,4,4,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,"2023-12-07 11:09:49",0,4,5,5,1,1,1,1,0,4,1,1,1,2,5,1,2,4,3,4,4,3,3,3,3,3,1,5,4,2,1,3,3,2,4,4,2,3,5,1,5,5,1,5,5,5,5,5,5,1,5,2,2,3,2,5,4,4,4,4,5,5,4,4,4,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,"2023-12-07 11:09:49",0,4,5,5,1,1,1,1,0,4,1,1,1,2,5,1,2,4,3,4,4,3,3,3,3,3,1,5,4,2,1,3,3,2,4,4,2,3,5,1,5,5,1,5,5,5,5,5,5,1,5,2,2,3,2,5,4,4,4,4,5,5,4,4,4,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,"2023-12-07 11:09:49",0,4,5,5,1,1,1,1,0,4,1,1,1,2,5,1,2,4,3,4,4,3,3,3,3,3,1,5,4,2,1,3,3,2,4,4,2,3,5,1,5,5,1,5,5,5,5,5,5,1,5,2,2,3,2,5,4,4,4,4,5,5,4,4,4,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,"2023-12-07 11:09:49",0,4,5,5,1,1,1,1,0,4,1,1,1,2,5,1,2,4,3,4,4,3,3,3,3,3,1,5,4,2,1,3,3,2,4,4,2,3,5,1,5,5,1,5,5,5,5,5,5,1,5,2,2,3,2,5,4,4,4,4,5,5,4,4,4,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"2023-12-07 13:13:55",0,3,2,4,2,2,2,5,0,2,3,2,4,2,3,4,4,5,4,1,2,5,2,4,2,3,4,1,3,2,4,2,4,3,3,4,3,4,5,3,2,1,4,3,3,3,3,3,2,4,4,4,3,4,1,5,5,3,3,3,5,5,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"2023-12-07 13:13:55",0,3,2,4,2,2,2,5,0,2,3,2,4,2,3,4,4,5,4,1,2,5,2,4,2,3,4,1,3,2,4,2,4,3,3,4,3,4,5,3,2,1,4,3,3,3,3,3,2,4,4,4,3,4,1,5,5,3,3,3,5,5,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"2023-12-07 13:13:55",0,3,2,4,2,2,2,5,0,2,3,2,4,2,3,4,4,5,4,1,2,5,2,4,2,3,4,1,3,2,4,2,4,3,3,4,3,4,5,3,2,1,4,3,3,3,3,3,2,4,4,4,3,4,1,5,5,3,3,3,5,5,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"2023-12-07 13:13:55",0,3,2,4,2,2,2,5,0,2,3,2,4,2,3,4,4,5,4,1,2,5,2,4,2,3,4,1,3,2,4,2,4,3,3,4,3,4,5,3,2,1,4,3,3,3,3,3,2,4,4,4,3,4,1,5,5,3,3,3,5,5,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"2023-12-07 13:13:55",0,3,2,4,2,2,2,5,0,2,3,2,4,2,3,4,4,5,4,1,2,5,2,4,2,3,4,1,3,2,4,2,4,3,3,4,3,4,5,3,2,1,4,3,3,3,3,3,2,4,4,4,3,4,1,5,5,3,3,3,5,5,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"2023-12-07 13:13:55",0,3,2,4,2,2,2,5,0,2,3,2,4,2,3,4,4,5,4,1,2,5,2,4,2,3,4,1,3,2,4,2,4,3,3,4,3,4,5,3,2,1,4,3,3,3,3,3,2,4,4,4,3,4,1,5,5,3,3,3,5,5,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"2023-12-07 13:13:55",0,3,2,4,2,2,2,5,0,2,3,2,4,2,3,4,4,5,4,1,2,5,2,4,2,3,4,1,3,2,4,2,4,3,3,4,3,4,5,3,2,1,4,3,3,3,3,3,2,4,4,4,3,4,1,5,5,3,3,3,5,5,4,3,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,,-1,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
,,-1,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
